Date,Network,Upload,Download,Total
"2022-12-21","NOS-F368-5","47,7 MB","135,3 MB","183 MB"
"2022-12-22","NOS-F368-5","259 MB","447,5 MB","706,5 MB"
"2022-12-23","NOS-F368-5","263,7 MB","552,7 MB","816,4 MB"
"2022-12-24","NOS-F368-5","275 MB","660,4 MB","935,4 MB"
"2022-12-25","NOS-F368-5","100,6 MB","193,6 MB","294,2 MB"
"2022-12-26","NOS-F368-5","193,9 MB","765,1 MB","959,1 MB"
"2022-12-27","NOS-F368-5","409,4 MB","2,46 GB","2,87 GB"
"2022-12-28","NOS-F368-5","306,3 MB","715,4 MB","1,02 GB"
"2022-12-29","NOS-F368-5","385,2 MB","1,3 GB","1,69 GB"
"2022-12-30","NOS-F368-5","269,9 MB","984,2 MB","1,25 GB"
"2022-12-31","NOS-F368-5","202,1 MB","253,4 MB","455,5 MB"
"2023-01-01","NOS-F368-5","164 MB","332,9 MB","496,9 MB"
"2023-01-02","NOS-F368-5","231 MB","377,2 MB","608,3 MB"
"2023-01-03","NOS-F368-5","252,3 MB","363,7 MB","616 MB"
"2023-01-04","NOS-F368-5","148,8 MB","267,3 MB","416 MB"
"2023-01-04","NOS-F368","37,2 MB","104,9 MB","142,1 MB"
"2023-01-05","NOS-F368","298,1 MB","1,4 GB","1,7 GB"
"2023-01-06","NOS-F368","366,4 MB","2,07 GB","2,44 GB"
"2023-01-07","NOS-F368","683,6 MB","28,57 GB","29,25 GB"
"2023-01-08","NOS-F368-5","88,4 MB","506 MB","594,5 MB"
"2023-01-09","NOS-F368-5","3,26 GB","9,48 GB","12,74 GB"
"2023-01-10","NOS-F368-5","381,2 MB","2,27 GB","2,65 GB"
"2023-01-11","NOS-F368-5","385,8 MB","2,08 GB","2,47 GB"
"2023-01-12","NOS-F368-5","220,1 MB","1,06 GB","1,28 GB"
"2023-01-13","NOS-F368-5","2,91 GB","6,13 GB","9,04 GB"
"2023-01-14","NOS-F368","97,1 MB","1,99 GB","2,09 GB"
"2023-01-14","NOS-F368-5","81,9 MB","4,09 GB","4,17 GB"
"2023-01-15","NOS-F368-5","164,3 MB","2,07 GB","2,24 GB"
"2023-01-16","NOS-F368-5","373,6 MB","3,3 GB","3,67 GB"
"2023-01-17","NOS-F368-5","705,2 MB","2,4 GB","3,11 GB"
"2023-01-18","NOS-F368-5","666,3 MB","2,67 GB","3,34 GB"
"2023-01-19","NOS-F368-5","752 MB","3,14 GB","3,9 GB"
"2023-01-20","NOS-F368-5","2,14 GB","5,87 GB","8,02 GB"
"2023-01-21","NOS-F368-5","884 MB","42,14 GB","43,02 GB"
"2023-01-22","NOS-F368-5","1,16 GB","44,98 GB","46,14 GB"
"2023-01-23","NOS-F368-5","560,1 MB","3,07 GB","3,63 GB"
"2023-01-24","NOS-F368-5","481,1 MB","763,2 MB","1,24 GB"
"2023-01-25","NOS-F368-5","551,8 MB","1,22 GB","1,77 GB"
"2023-01-26","NOS-F368-5","615,5 MB","2,92 GB","3,53 GB"
"2023-01-27","NOS-F368-5","61,9 MB","979,6 MB","1,04 GB"
"2023-01-28","NOS-F368-5","677,5 MB","6,95 GB","7,63 GB"
"2023-01-29","NOS-F368-5","730,3 MB","6,75 GB","7,48 GB"
"2023-01-30","NOS-F368-5","1,03 GB","5,6 GB","6,63 GB"
"2023-01-31","NOS-F368-5","308,7 MB","2,71 GB","3,02 GB"
"2023-02-01","NOS-F368-5","472,1 MB","20,83 GB","21,3 GB"
"2023-02-02","NOS-F368-5","845 MB","3,68 GB","4,52 GB"
